0	
+	-	
0	1	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	
0	1	1	3	4	6	5	7	
3	1	3	3	4	1	1	1	
0	1	4	4	4	1	1	1	
0	1	6	6	1	6	6	1	
0	1	5	5	1	1	6	1	
0	1	7	1	1	1	1	7	
*	\	**	
0	1	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	
0	1	1	3	4	6	5	7	
0	1	3	3	4	1	1	1	
0	1	4	4	4	1	1	1	
0	1	6	6	1	6	6	1	
0	1	5	5	1	1	6	1	
0	1	7	1	1	1	1	7	
%	
0	1	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	
0	1	1	3	4	6	5	7	
0	1	3	3	4	1	1	1	
0	1	4	4	4	1	1	1	
0	1	6	6	1	6	6	1	
0	1	5	5	1	1	6	1	
0	1	7	1	1	1	1	7	
=	+=	-=	*=	\=	%=	
0	1	0	0	0	0	0	7	
1	1	1	1	1	1	1	1	
0	1	1	3	4	6	5	7	
0	1	3	3	4	1	1	1	
0	1	4	4	4	1	1	1	
0	1	6	6	1	6	6	1	
0	1	5	5	1	1	6	1	
0	1	7	1	1	1	1	7	
